user,name,created,tweet,location
danisalvita,Daniel a secas de vox❤🇪🇦😘🇪🇦❤,2019-10-10 23:59:30,RT @salcedoibiza: La gente quejándose porq le han hecho una entrevista incómoda a Abascal? Pues a mí me parece bien q haga entrevistas así.…,"Getafe, España"
Megawif,Mega,2019-10-10 23:59:30,"RT @vox_es: 📺 @Santi_ABASCAL en @El_Hormiguero 🐜

""Sí es verdad que el PSOE nos ha utilizado para meter miedo: han dicho barbaridades de no…",Embajadores fuera!
nestorsiurana,N14 ⚡,2019-10-10 23:59:29,"RT @FonsiLoaiza: Abascal se afilió al PP con 18 años y ha tenido 9 cargos. A sus 43 años no ha cotizado nunca fuera de la política, ha cobr…",Valencia 🇪🇸
pamplonauta80,Leyre,2019-10-10 23:59:28,"RT @tortondo: Muy apropiado el inicio de El Hormiguero con la visita de Abascal.
(Gracias a la colaboración de @noabraspaz y el apoyo moral…",
Megawif,Mega,2019-10-10 23:59:27,"RT @RodrigoDdeV13: Y al que no le guste, que no vote Vox pero mediastintas y bienquedas ya tenemos muchos.  Abascal firme en sus opiniones.…",Embajadores fuera!
7Reconquistador,711Reconquistador,2019-10-10 23:59:26,"RT @colinrivas: 🔴@Santi_ABASCAL EN DIRECTO EN @El_Hormiguero 

🗣@PabloMotosFans le pregunta sobre el #calentongueval y Amazonia 

😆 @Santi_…",
CIUDADANOKANE15,CIUDADANOVOX🇪🇸,2019-10-10 23:59:26,"RT @JuanfraEscudero: 🗣Santiago Abascal, @Santi_ABASCAL, está demostrando ser una persona con gran patriotismo, una persona buena, con un gr…",
OvazquezOlga,Olga Vazquez🎗🎗🎗🎗,2019-10-10 23:59:25,RT @gabrielrufian: Si habéis visto Joker en el cine podéis ver a Abascal en el Hormiguero.,
JusaFernando,Fernando_jusa,2019-10-10 23:59:25,"RT @vox_es: 📺 @Santi_ABASCAL en @El_Hormiguero 🐜

""Sí, he toreado pero sin muerte. Y se me secó la boca más que en ésta entrevista"".

 📢 #S…",
pacoruizmarina1,Paco Rajato,2019-10-10 23:59:24,"RT @hermanntertsch: La autenticidad de @Santi_ABASCAL no tiene rival en la politica española. Nadie, ninguno, ni de lejos. https://t.co/nHB…",
CMV1015LB,MOÑACO DIABÓLICO 🇪🇸,2019-10-10 23:59:24,"RT @JONHCRISTO: Espero cuando vaya iglesias. Le preguntes por su apoyo a proetarras, Venezuela, por su ídolo Che Guevara, el odio hacia las…",España
cuscomita6254,Ramon 🇪🇦🇪🇦,2019-10-10 23:59:23,"RT @vox_es: 📺 @Santi_ABASCAL en @El_Hormiguero 🐜

""El otro día hablamos de la emergencia social que viven los españoles: la carestía de la…",Zamora/Madrid-Torrelodones.
Megawif,Mega,2019-10-10 23:59:22,"RT @vox_es: 📺 @Santi_ABASCAL en @El_Hormiguero 🐜

"" (Sobre la eutanasia) Nos ponen la reflexión sobre Ramón Sampedro, un hombre en pleno us…",Embajadores fuera!
josemartinez_88,jose antonio,2019-10-10 23:59:20,"RT @vox_es: 📺 @Santi_ABASCAL en @El_Hormiguero 🐜

""Somos los únicos que no permitiríamos que salgan los violadores de mujeres de las cárcel…","Almería, España"
TempleCaballero,Caballero del Temple,2019-10-10 23:59:20,"RT @litrileon: @El_Hormiguero @Santi_ABASCAL @vox_es Un ejemplo para España, tenía que haber más así
 @jusapol
#EquiparacionYa 
@interiorgo…",
Josebibcn,Josebibcn,2019-10-10 23:59:19,RT @eledhmel: Los que piden #BoicotElHormiguero porque va @Santi_ABASCAL son los mismos que vieron encantados a Otegi en distintos programa…,Barcelona
tomas_piza3,Tomás Hernández.,2019-10-10 23:59:18,"RT @CasoAislado_Es: Contundentes palabras de Santiago Abascal, presidente de @vox_es, durante su intervención en El Hormiguero. #SantiagoAb…",
gastmont1975,Gastmont1975,2019-10-10 23:59:18,@sonisand1 @El_Hormiguero @Santi_ABASCAL Un sicólogo te puede ayudar a superar tus problemas mentales,
S_I_L_L_O,O Noviño Xose,2019-10-10 23:59:18,"*Nadie*
*Nadie*
*Absolutamente nadie*

Abascal en el hormiguero:

Es que es mi conviccion",
VictorMartin_22,"Don't worry, BITCH",2019-10-10 23:59:17,RT @EuprepioPadula: No te pierdas las declaraciones de este homófobo sobre la adopción. A los homosexuales le tocan los niños que no quiere…,"Madrid, Comunidad de Madrid"
LauraDHM,Efímera.,2019-10-10 23:59:17,"RT @AnabelAlonso_of: ""La mujer que quiera va a abortar pero no tendrá ayuda pública""
Santiago Abascal.
Osea, las que no tengan recursos se…",En mitad de un concierto
AgoizS,Sociópata 💚📗❤💛❤,2019-10-10 23:59:17,"RT @3PuntosColega3: Pablo Motos se ha llevado una lección.Pretender hundir a alguien con odio,y retratarte a ti mismo como un ser triste y…","Sí, hombre"
JUANLU1974,Juanlu,2019-10-10 23:59:17,"RT @madrid13nadamas: Yo no veo El Hormiguero, no me gusta el programa y tampoco voto a VOX pero esta noche voy a ver a Abascal por 2 motivo…",
nxmjxnd,Heechul's thighs says stream #IThinkI,2019-10-10 23:59:17,RT @chuckiclampy: Increíble lo de El Hormiguero invitando a Santiago Abascal. Cómo ha bajado de calidad. Antes era un programa con debates…,SMstan
perezlealypunto,Carmen,2019-10-10 23:59:16,"RT @ivanedlm: Trending topics en twitter, ahora mismo
#1. #BoicotElHormiguero
#2. Pablo Motos
#3. Abascal

Qué bien lo vamos a pasar dispar…",
Jesusyfausto,jesus&fausto,2019-10-10 23:59:16,"@hermanntertsch @vox_es @Santi_ABASCAL Vaya, pero no caes en cuenta que vives en un país de cobardes....","Distrito Federal, México"
GascoJuanjo,Juanjo Gasco,2019-10-10 23:59:16,RT @LopedeV12206498: Después de ver a Abascal me reafirmo en mi voto. https://t.co/BK7AaE9F9U,Torrent (Valencia) España🇪🇸
DeLazh,Fran Lázaro,2019-10-10 23:59:15,"RT @MisterDBunker: Entrevistan a Abascal en una tele privada que no nos cuesta un duro: boicot.

Entrevistan a Otegi en una tele pública qu…","Las Palmas de Gran Canaria, Es"
JoseAnt1961,JoseAnt1961,2019-10-10 23:59:14,"RT @aliciaguesswhat: no sabéis el gusto que da verse representado al 100%, que alguien pueda expresar justo lo que pienso yo pero con mucho…",
MalulaCon,malula,2019-10-10 23:59:14,RT @Igarrigavaz: Vaya si resulta que después de la entrevista a @Santi_ABASCAL millones de españoles han descubierto que los de VOX ni son…,Venezuela
ramon1953uc,"RAY ,,, #1.808",2019-10-10 23:59:13,"RT @HarticoEstoy: @Igarrigavaz @Santi_ABASCAL El problema @Igarrigavaz no es que VOX no sea un partido fascista, que no lo es, el problema…",Spain
medueletodo59,Ascen,2019-10-10 23:59:13,"RT @AnabelAlonso_of: ""La mujer que quiera va a abortar pero no tendrá ayuda pública""
Santiago Abascal.
Osea, las que no tengan recursos se…",
prodiastur,prodiastur,2019-10-10 23:59:13,"RT @AgustinRosety: A nadie le han hecho una entrevista en el hormiguero como la que le han hecho hoy a @Santi_ABASCAL 

Y ha salido más que…",
choqueraa,Barbie de bien 🇪🇸🇪🇺💚🥜,2019-10-10 23:59:13,@antena3com @Santi_ABASCAL @El_Hormiguero 11 frases sacadas de contexto y que están todos los medios manipulando,España
RaulitoTop,Raúl Valdueza,2019-10-10 23:59:11,"RT @MisterDBunker: Entrevistan a Abascal en una tele privada que no nos cuesta un duro: boicot.

Entrevistan a Otegi en una tele pública qu…","Harvard, IL"
Garmine10,Garmine,2019-10-10 23:59:10,"RT @hermanntertsch: La autenticidad de @Santi_ABASCAL no tiene rival en la politica española. Nadie, ninguno, ni de lejos. https://t.co/nHB…",Cangas de Onis - Malaga 
jal9000nacional,jal9000,2019-10-10 23:59:09,"RT @AnabelAlonso_of: ""La mujer que quiera va a abortar pero no tendrá ayuda pública""
Santiago Abascal.
Osea, las que no tengan recursos se…",Bolsolandia
aratobio,Aranzazu Orobio,2019-10-10 23:59:09,RT @JuanfraEscudero: 🗣Dice Abascal en El Hormiguero que defendería la frontera de Melilla con muros más grandes si es necesario y mandaría…,"Cádiz, España"
cuscomita6254,Ramon 🇪🇦🇪🇦,2019-10-10 23:59:09,"RT @vox_es: 📺 @Santi_ABASCAL en @El_Hormiguero 🐜

""Somos los únicos que no permitiríamos que salgan los violadores de mujeres de las cárcel…",Zamora/Madrid-Torrelodones.
SEIJO_SEIJO,Venezuela Fenix,2019-10-10 23:59:08,"RT @AgustinRosety: A nadie le han hecho una entrevista en el hormiguero como la que le han hecho hoy a @Santi_ABASCAL 

Y ha salido más que…",Venezuela
Megawif,Mega,2019-10-10 23:59:07,RT @GladiatorAstur: Pablo Motos ha hecho todo lo posible para no parecer cercano y cariñoso con @Santi_ABASCAL. Denota cierto ACOJONE de lo…,Embajadores fuera!
PajaritoEspanol,Pajarito,2019-10-10 23:59:07,"RT @vox_es: 📺 @Santi_ABASCAL en @El_Hormiguero 🐜

""Yo me saqué la licencia de armas para proteger a mi padre en el País Vasco"".

 📢 #Santia…",
JosuTwito,Josu Twito,2019-10-10 23:59:06,RT @alfonsopmedina: Santiago Abascal dice que como primera medida ordenaría al Ministerio del Interior la detención de Torra. Que alguien l…,DUBAI
Astrid5555,Astrid5555,2019-10-10 23:59:06,"RT @ExtremoDerecho7: Pablo Motos, sin quererlo, le está haciendo a Abascal la mejor campaña posible haciéndole la entrevista más dura que h…",
ViajeroMallorca,Viajero,2019-10-10 23:59:06,@abmonto78 @lunitas70 @Santi_ABASCAL Imagínate a un pelele con la camiseta del ejercito de tierra español o a un ma… https://t.co/rwisr7U7fZ,
nereaalzola,Nerea Alzola ✨,2019-10-10 23:59:06,"RT @ExtremoDerecho7: Pablo Motos, sin quererlo, le está haciendo a Abascal la mejor campaña posible haciéndole la entrevista más dura que h…","De Bilbao, en Madrid."
JaccDancer,Mr. C∆ndy,2019-10-10 23:59:06,"RT @FonsiLoaiza: Abascal se afilió al PP con 18 años y ha tenido 9 cargos. A sus 43 años no ha cotizado nunca fuera de la política, ha cobr…",Sevilla
TempleCaballero,Caballero del Temple,2019-10-10 23:59:05,"RT @JupolValladolid: Qué opina @Santi_ABASCAL de 30 años de injusticia a las FFCCSSEE?👮👩‍✈️

@policia y @guardiacivil cobrando menos que la…",
Liverdades,Liverdades,2019-10-10 23:59:05,Desmontando a Abascal: las 7 mentiras que le ha contado a Pablo Motos en 'El Hormiguero' https://t.co/5GhbAgyceo ví… https://t.co/LX71SJZ4D7,Barcelona
danisalvita,Daniel a secas de vox❤🇪🇦😘🇪🇦❤,2019-10-10 23:59:05,"RT @SonrisitasBobas: ""No encarcelaría a ninguna mujer por abortar""
""No veo mal que dos hombres se besen en la Gran Vía""
""No me opongo a la…","Getafe, España"
franciacantu,Francia Cantú,2019-10-10 23:59:05,RT @Igarrigavaz: Vaya si resulta que después de la entrevista a @Santi_ABASCAL millones de españoles han descubierto que los de VOX ni son…,
A_Llaneras,JENOFONTE Ξενοφῶν,2019-10-10 23:59:05,"RT @numer344: Corregidme si me equivoco, pero... ¿Aquellos que están pidiendo el boicot a Cuatro por entrevistar a Santiago Abascal, no son…",There where beauty dwells
Liverdades,Liverdades,2019-10-10 23:59:04,"Abascal le retira un 'regalo' a Pablo Motos en 'El Hormiguero': ""¿No te está gustando la entrevista?""… https://t.co/ItMvFaKLQJ",Barcelona
CoqueMalagueno,Coque el Malagueno,2019-10-10 23:59:04,"RT @vox_es: 📺 @Santi_ABASCAL en @El_Hormiguero 🐜

""Ordenaría la detención de Torra, la suspensión de la autonomía de Cataluña, cerrar TV3 y…",
arturo_amv15,Iberico,2019-10-10 23:59:04,"RT @CasoAislado_Es: A ver si se enteran los progres. Pablo Motos no lo ha podido explicar mejor. #SantiagoAbascalEH. ""No sería democrático…",Mallorca
macor972,Mc,2019-10-10 23:59:03,"RT @vox_es: 📺 @Santi_ABASCAL en @El_Hormiguero 🐜

""Ordenaría la detención de Torra, la suspensión de la autonomía de Cataluña, cerrar TV3 y…",EL MUNDO
charicebrianten,chari leo,2019-10-10 23:59:03,"RT @carnecrudaradio: ""Vox no es un partido más para ir ahí con Trancas y Barrancas y la química. Eso es normalizar a la extrema derecha"".…",
Liverdades,Liverdades,2019-10-10 23:59:03,Pablo Motos justifica así haber llevado a Abascal a 'El Hormiguero'... y este le corrige nada más entrar… https://t.co/UZIAo3ds5j,Barcelona
brunoelgatete,Bruno ⛨ 🇪🇸,2019-10-10 23:59:03,"@gatomochete @CristinaSolanoS @puigmelont @alonso_dm Porque el lobby feminista da mucho dinero a los medios. 
No su… https://t.co/IyYnmcSLeq",
LAGOCHAMARACAY,MARIA GONZALEZ,2019-10-10 23:59:03,"RT @vox_es: 📺 @Santi_ABASCAL en @El_Hormiguero 🐜

"" El objetivo no es desenterrar a Franco. Es la excusa, el objetivo es Felipe VI y aún má…","Güigüe, Venezuela"
victor_garde,Victor,2019-10-10 23:59:02,"RT @FonsiLoaiza: Abascal se afilió al PP con 18 años y ha tenido 9 cargos. A sus 43 años no ha cotizado nunca fuera de la política, ha cobr…","Madrid, Comunidad de Madrid"
JUANESPEP,Juanes B. Anana Gord,2019-10-10 23:59:02,RT @Aker54503314: #SantiagoAbascalEH Que escándalo Santiago Abascal en televisión... https://t.co/M5TVsANDqJ,
GuillemGirona,Guillem Girona,2019-10-10 23:59:01,"RT @FonsiLoaiza: Abascal se afilió al PP con 18 años y ha tenido 9 cargos. A sus 43 años no ha cotizado nunca fuera de la política, ha cobr…",Girona
Megawif,Mega,2019-10-10 23:58:59,"RT @AgustinRosety: A nadie le han hecho una entrevista en el hormiguero como la que le han hecho hoy a @Santi_ABASCAL 

Y ha salido más que…",Embajadores fuera!
pallaron12,Flor María Fernández,2019-10-10 23:58:59,"RT @numer344: Corregidme si me equivoco, pero... ¿Aquellos que están pidiendo el boicot a Cuatro por entrevistar a Santiago Abascal, no son…","Asturias ,Aviles."
DIFUNTOMUERTO,chema,2019-10-10 23:58:59,RT @AntonioRNaranjo: Los mismos que no decían ni mú o apoyaban la presencia de Otegi en TVE la lían parda ahora por ver a Abascal en El Hor…,"Alicante, España"
Rs104Rs,Raquel Segovia💙💙💚💚,2019-10-10 23:58:58,"RT @AnabelAlonso_of: ""La mujer que quiera va a abortar pero no tendrá ayuda pública""
Santiago Abascal.
Osea, las que no tengan recursos se…","Madrid, Comunidad de Madrid"
IreneAiete,Irene Aiete Fierro,2019-10-10 23:58:58,RT @cantabrona1980: @El_Hormiguero @Santi_ABASCAL @vox_es Hayyy como están los PROGRES..... los TOLERANTES ...🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣,
ProVida_ProVox,Helensky † 💚,2019-10-10 23:58:58,RT @Igarrigavaz: Vaya si resulta que después de la entrevista a @Santi_ABASCAL millones de españoles han descubierto que los de VOX ni son…,No leo DM
26piera,Manuela Piera,2019-10-10 23:58:58,RT @Isrardi155: Insisto en que esto que ha dicho Abascal es muy importante y se ha hablado muy poco de ello. https://t.co/JitQu72EeB,Málaga-La Isla
Yassmain_,Yaaass ♀,2019-10-10 23:58:58,"RT @AnabelAlonso_of: ""La mujer que quiera va a abortar pero no tendrá ayuda pública""
Santiago Abascal.
Osea, las que no tengan recursos se…",Madrid.spain
_SobresEnB_,Sobres En B,2019-10-10 23:58:57,"RT @tortondo: Muy apropiado el inicio de El Hormiguero con la visita de Abascal.
(Gracias a la colaboración de @noabraspaz y el apoyo moral…",Los Molinos (Getafe)
lcruz1412,manuel 🇪🇸,2019-10-10 23:58:56,"RT @numer344: Corregidme si me equivoco, pero... ¿Aquellos que están pidiendo el boicot a Cuatro por entrevistar a Santiago Abascal, no son…","Palma, España"
JorgeRichterR,Jorge Richter,2019-10-10 23:58:56,"RT @_Sapientiae: Cuando te mola más un comunista que no tiene pudor en levantar el puño, que homenajea al Che homófobo, que ríe con azotar…","Concepción, Chile"
mestremanuel,Manuel Mestre Barea,2019-10-10 23:58:56,"RT @vox_es: 📺 @Santi_ABASCAL en @El_Hormiguero 🐜

""Sí, he toreado pero sin muerte. Y se me secó la boca más que en ésta entrevista"".

 📢 #S…",
